time(ms),vdd_arm voltage(V),vdd_arm current(mA),vdd_soc voltage(V),vdd_soc current(mA),lpd5_vddq voltage(V),lpd5_vddq current(mA),lpd5_vdd2 voltage(V),lpd5_vdd2 current(mA),lpd5_vdd1 voltage(V),lpd5_vdd1 current(mA),vdd_ddr voltage(V),vdd_ddr current(mA),vddq_ddr voltage(V),vddq_ddr current(mA),vdd2_ddr voltage(V),vdd2_ddr current(mA),nvcc_sdio2 voltage(V),nvcc_sdio2 current(mA),nvcc_3v3 voltage(V),nvcc_3v3 current(mA),vdd_usb_3v3 voltage(V),vdd_usb_3v3 current(mA),vdd_ana_0v8 voltage(V),vdd_ana_0v8 current(mA),vdd_ana_1v8 voltage(V),vdd_ana_1v8 current(mA),nvcc_enet_ccm voltage(V),nvcc_enet_ccm current(mA),nvcc_wakeup voltage(V),nvcc_wakeup current(mA),nvcc_bbsm_1v8 voltage(V),nvcc_bbsm_1v8 current(mA),GROUP_SOC Power(mW),GROUP_SOC_FULL Power(mW),GROUP_DRAM Power(mW)
80,0.816309,119.628906,0.862727,699.462891,0.496074,2.746582,1.038648,43.029785,1.794473,2.410889,0.836280,64.697266,0.498936,9.460449,1.042945,0.158691,3.288078,0.579834,3.291603,4.394531,3.281187,19.813538,0.831162,137.023926,1.786920,92.224121,1.793265,2.197266,1.794842,1.068115,1.791806,0.119019,1104.001629,1126.230598,50.381585
87,0.818039,66.528320,0.865348,663.452148,0.497960,9.460449,1.044584,35.400391,1.791199,2.052307,0.834443,297.241211,0.498936,9.460449,1.042039,-0.122070,3.289076,0.366211,3.287257,3.906250,3.281248,19.660950,0.837510,137.023926,1.792773,92.346191,1.799997,3.234863,1.799225,1.190186,1.798251,0.109253,1226.187303,1248.196802,45.365689
94,0.821894,76.904297,0.866758,674.438477,0.498485,5.798340,1.039762,29.296875,1.791278,1.853943,0.836176,75.073242,0.496550,3.967285,1.042420,0.305176,3.295869,0.793457,3.290080,4.974365,3.285139,19.699097,0.840452,135.803223,1.787344,93.505859,1.792908,0.885010,1.792975,0.213623,1.786542,0.108337,1059.015843,1079.966796,36.673087
101,0.818460,79.956055,0.870961,615.234375,0.498939,9.155273,1.044968,45.776367,1.796725,1.663208,0.837614,77.819824,0.500465,3.051758,1.045325,0.402832,3.290114,-0.244141,3.293706,2.899170,3.289705,19.271851,0.840928,137.023926,1.787387,92.651367,1.793210,2.746582,1.793393,0.915527,1.788733,0.182190,1012.972749,1028.285609,55.391110
108,0.820288,104.980469,0.870643,678.710938,0.502373,7.629395,1.044996,43.029785,1.793802,1.647949,0.836442,97.351074,0.495512,10.070801,1.044865,0.292969,3.290529,0.488281,3.287172,4.760742,3.280748,19.691467,0.832139,137.023926,1.788821,93.261719,1.792895,1.007080,1.792029,-0.091553,1.794376,0.106201,1109.398892,1128.296497,51.754840
115,0.813617,72.021484,0.863822,675.659180,0.497520,4.577637,1.040192,35.095215,1.793698,3.128052,0.837867,345.458984,0.499974,3.356934,1.048441,-0.341797,3.286168,0.152588,3.286766,3.936768,3.274986,19.447327,0.826770,136.718750,1.789847,92.285156,1.791843,1.770020,1.791971,0.488281,1.790402,0.112915,1275.119320,1292.606565,44.394019
123,0.816144,54.931641,0.863813,677.490234,0.498952,7.934570,1.041581,42.724609,1.788226,2.159119,0.830787,76.904297,0.495036,8.850098,1.040076,-0.085449,3.291069,-0.030518,3.294551,4.211426,3.286171,19.561768,0.839487,134.582520,1.792740,93.017578,1.797140,2.502441,1.796353,0.610352,1.794424,0.150146,1042.529872,1061.897840,52.321094
130,0.820295,103.759766,0.869862,639.648438,0.499403,11.596680,1.043989,46.081543,1.795465,1.152039,0.837699,69.274902,0.499956,5.187988,1.043449,0.097656,3.289543,0.579834,3.287675,4.608154,3.280742,19.706726,0.833567,140.686035,1.790836,92.041016,1.795364,0.732422,1.793484,0.000000,1.791870,0.112610,1049.202572,1067.575040,55.968477
138,0.816083,67.138672,0.864094,621.337891,0.497536,3.051758,1.039203,36.315918,1.794107,3.326416,0.837592,79.956055,0.501884,7.629395,1.044968,-0.122070,3.290053,0.366211,3.289705,3.845215,3.282707,19.676208,0.837501,137.939453,1.796167,92.834473,1.797082,3.082275,1.797247,1.434326,1.792840,0.113220,1009.421983,1031.393399,45.225933
145,0.819870,90.942383,0.867265,670.776367,0.497508,5.798340,1.045008,41.809082,1.794726,1.777649,0.837684,70.800781,0.499413,10.681152,1.045841,0.292969,3.289073,0.396729,3.287147,5.004883,3.286574,19.775391,0.839957,136.413574,1.783996,92.102051,1.791449,0.823975,1.791015,0.274658,1.790237,0.129395,1065.367329,1085.092011,49.765941
