time(ms),vdd_arm voltage(V),vdd_arm current(mA),vdd_soc voltage(V),vdd_soc current(mA),lpd5_vddq voltage(V),lpd5_vddq current(mA),lpd5_vdd2 voltage(V),lpd5_vdd2 current(mA),lpd5_vdd1 voltage(V),lpd5_vdd1 current(mA),vdd_ddr voltage(V),vdd_ddr current(mA),vddq_ddr voltage(V),vddq_ddr current(mA),vdd2_ddr voltage(V),vdd2_ddr current(mA),nvcc_sdio2 voltage(V),nvcc_sdio2 current(mA),nvcc_3v3 voltage(V),nvcc_3v3 current(mA),vdd_usb_3v3 voltage(V),vdd_usb_3v3 current(mA),vdd_ana_0v8 voltage(V),vdd_ana_0v8 current(mA),vdd_ana_1v8 voltage(V),vdd_ana_1v8 current(mA),nvcc_enet_ccm voltage(V),nvcc_enet_ccm current(mA),nvcc_wakeup voltage(V),nvcc_wakeup current(mA),nvcc_bbsm_1v8 voltage(V),nvcc_bbsm_1v8 current(mA),GROUP_SOC Power(mW),GROUP_SOC_FULL Power(mW),GROUP_DRAM Power(mW)
80,0.818048,64.697266,0.821427,463.256836,0.496049,5.187988,1.045545,36.926270,1.797140,1.846313,0.835242,70.800781,0.500865,11.901855,1.045463,-0.146484,3.289061,0.518799,3.283766,4.638672,3.281398,19.287109,0.838535,132.141113,1.784952,92.529297,1.792779,2.166748,1.791958,0.610352,1.792862,0.111084,837.854062,859.770961,44.499665
87,0.821527,52.490234,0.818146,435.791016,0.501454,1.831055,1.045521,39.367676,1.789136,2.326965,0.836481,239.868164,0.498939,9.155273,1.042908,0.305176,3.289528,0.732422,3.291069,4.852295,3.281343,19.424438,0.835590,133.666992,1.788861,92.468262,1.798566,2.899170,1.793777,1.953125,1.794775,0.163879,946.330364,973.426741,46.241167
95,0.818958,78.125000,0.815433,490.112305,0.502852,8.544922,1.043571,39.062500,1.792776,1.770020,0.836341,58.593750,0.498488,5.493164,1.040916,0.463867,3.284196,0.335693,3.288756,3.570557,3.280971,19.134521,0.835602,132.446289,1.788446,91.003418,1.795163,2.746582,1.791864,1.556396,1.794827,0.109863,852.264418,872.829002,48.234557
103,0.811783,48.217773,0.814966,485.839844,0.494603,3.356934,1.040674,35.705566,1.795578,2.090454,0.840220,61.340332,0.499968,3.967285,1.046787,0.415039,3.287105,0.549316,3.290593,4.730225,3.284163,19.699097,0.836570,133.361816,1.788876,92.163086,1.796179,2.349854,1.792428,0.793457,1.792609,0.282898,830.679684,853.693560,42.571793
110,0.815207,144.653320,0.814746,432.128906,0.494533,10.375977,1.042188,30.822754,1.796243,2.868652,0.835346,158.081055,0.500990,-0.610352,1.042966,0.073242,3.293019,0.000000,3.292680,3.387451,3.284218,19.561768,0.838068,130.004883,1.787994,90.270996,1.790820,2.227783,1.793915,0.579834,1.789065,0.100098,936.602031,952.785556,42.407166
118,0.816596,62.255859,0.819413,475.463867,0.498473,7.019043,1.045176,25.024414,1.793719,1.853943,0.836994,42.114258,0.501866,9.460449,1.042423,0.292969,3.291090,-0.244141,3.285380,3.143311,3.279973,19.187927,0.831763,125.732422,1.786041,90.270996,1.790335,2.197266,1.792926,0.701904,1.787976,0.257874,809.945852,824.661638,32.979167
125,0.821936,68.359375,0.820026,450.439453,0.501405,6.713867,1.048078,27.770996,1.793689,1.930237,0.835288,66.223145,0.498485,5.798340,1.043342,0.524902,3.286213,-0.305176,3.284446,2.716064,3.273143,19.172668,0.830759,128.479004,1.789896,91.308594,1.792917,0.793457,1.794467,-0.061035,1.791852,0.114441,817.440440,826.671412,35.934787
132,0.820526,57.373047,0.815589,458.984375,0.497990,6.408691,1.042683,30.212402,1.793402,1.426697,0.832663,35.705566,0.498439,10.375977,1.039060,0.073242,3.283751,-0.091553,3.283922,3.082275,3.276457,19.432068,0.830735,130.920410,1.790344,92.102051,1.795196,2.410889,1.794379,0.823975,1.793396,0.106506,793.911009,809.538865,37.252052
140,0.820865,87.280273,0.815259,524.902344,0.499431,8.850098,1.039750,79.345703,1.791757,1.876831,0.837906,97.351074,0.500896,8.850098,1.039551,0.061035,3.293516,-0.091553,3.289693,3.967285,3.287050,19.805908,0.839527,130.615234,1.791336,91.796875,1.793158,3.265381,1.795740,1.861572,1.794376,0.155029,925.119500,947.067360,90.282513
147,0.819886,87.890625,0.820954,460.205078,0.500835,14.953613,1.044907,51.879883,1.795142,1.960754,0.838535,34.484863,0.499446,7.324219,1.044422,0.109863,3.290080,0.091553,3.289751,3.387451,3.277983,19.279480,0.835099,133.972168,1.790845,91.857910,1.792358,1.495361,1.794900,0.488281,1.796344,0.104675,822.325978,837.327703,65.218788
