time(ms),J1_Rail voltage(V),J1_Rail current(mA),J2_Rail voltage(V),J2_Rail current(mA),J3_Rail voltage(V),J3_Rail current(mA),J4_Rail voltage(V),J4_Rail current(mA),J5_Rail voltage(V),J5_Rail current(mA),J6_Rail voltage(V),J6_Rail current(mA),J7_Rail voltage(V),J7_Rail current(mA),J8_Rail voltage(V),J8_Rail current(mA),J9_Rail voltage(V),J9_Rail current(mA),J10_Rail voltage(V),J10_Rail current(mA)
102,1.521670,0.134859,-0.034566,555.538601,-0.000003,0.000030,-0.000003,0.000030,0.000031,-0.000305,0.000003,-0.000030,-0.000021,0.000213,-0.000015,0.000152,0.000018,-0.000183,-0.000009,0.000304
122,1.516350,0.134341,-0.032125,555.538601,0.000000,0.000000,-0.000009,0.000091,0.000043,-0.000426,0.000012,-0.000122,-0.000037,0.000366,-0.000018,0.000183,-0.000024,0.000244,-0.000015,0.000507
142,1.516366,0.134188,-0.034078,555.538601,0.000015,-0.000152,0.000000,0.000000,0.000003,-0.000030,0.000015,-0.000152,-0.000031,0.000305,-0.000009,0.000091,-0.000006,0.000061,0.000003,-0.000101
162,1.514351,0.134798,-0.035543,555.538601,-0.000015,0.000152,0.000000,0.000000,-0.000015,0.000152,0.000000,0.000000,0.000000,0.000000,-0.000009,0.000091,0.000000,0.000000,-0.000018,0.000608
181,1.515355,0.134523,-0.037496,555.538601,-0.000018,0.000183,0.000003,-0.000030,0.000009,-0.000091,0.000000,0.000000,0.000015,-0.000152,0.000012,-0.000122,0.000009,-0.000091,0.000027,-0.000912
201,1.512886,0.134798,-0.031148,555.538601,-0.000021,0.000213,0.000003,-0.000030,0.000006,-0.000061,-0.000012,0.000122,0.000034,-0.000335,-0.000009,0.000091,0.000012,-0.000122,0.000024,-0.000811
221,1.516808,0.134645,-0.037984,555.538601,-0.000018,0.000183,0.000018,-0.000183,0.000012,-0.000122,-0.000003,0.000030,-0.000012,0.000122,0.000024,-0.000244,-0.000003,0.000030,0.000009,-0.000304
241,1.509502,0.134463,-0.032125,555.538601,0.000006,-0.000061,-0.000003,0.000030,0.000015,-0.000152,0.000003,-0.000030,0.000003,-0.000030,0.000015,-0.000152,0.000024,-0.000244,0.000034,-0.001115
260,1.513900,0.134432,-0.035543,555.538601,-0.000043,0.000426,-0.000037,0.000366,0.000027,-0.000274,0.000006,-0.000061,0.000024,-0.000244,0.000015,-0.000152,-0.000024,0.000244,0.000000,0.000000
279,1.512929,0.134371,-0.037496,555.538601,0.000000,0.000000,0.000009,-0.000091,-0.000043,0.000426,-0.000037,0.000366,0.000006,-0.000061,-0.000012,0.000122,0.000018,-0.000183,0.000027,-0.000912
299,1.514922,0.133975,-0.034566,555.538601,-0.000021,0.000213,0.000024,-0.000244,0.000027,-0.000274,0.000018,-0.000183,0.000003,-0.000030,0.000024,-0.000244,0.000018,-0.000183,0.000012,-0.000405
319,1.516308,0.134767,-0.034078,555.538601,-0.000006,0.000061,0.000009,-0.000091,0.000003,-0.000030,0.000024,-0.000244,0.000006,-0.000061,0.000040,-0.000396,0.000015,-0.000152,0.000009,-0.000304
338,1.518755,0.134706,-0.031637,555.538601,0.000015,-0.000152,0.000034,-0.000335,0.000000,0.000000,0.000018,-0.000183,0.000006,-0.000061,-0.000012,0.000122,-0.000015,0.000152,-0.000009,0.000304
357,1.512386,0.134919,-0.032125,555.538601,-0.000012,0.000122,0.000015,-0.000152,0.000006,-0.000061,0.000018,-0.000183,-0.000046,0.000457,0.000009,-0.000091,-0.000034,0.000335,-0.000003,0.000101
377,1.517797,0.134523,-0.034566,555.538601,-0.000009,0.000091,0.000003,-0.000030,-0.000003,0.000030,0.000018,-0.000183,0.000003,-0.000030,-0.000009,0.000091,0.000006,-0.000061,0.000009,-0.000304
397,1.520723,0.134554,-0.036519,555.538601,-0.000018,0.000183,-0.000027,0.000274,0.000003,-0.000030,0.000006,-0.000061,-0.000003,0.000030,0.000003,-0.000030,0.000003,-0.000030,0.000067,-0.002229
415,1.510976,0.134371,-0.034078,555.538601,0.000006,-0.000061,0.000031,-0.000305,0.000000,0.000000,0.000018,-0.000183,-0.000003,0.000030,0.000009,-0.000091,0.000015,-0.000152,-0.000027,0.000912
435,1.506591,0.134280,-0.035055,555.538601,0.000015,-0.000152,0.000006,-0.000061,0.000006,-0.000061,0.000018,-0.000183,0.000012,-0.000122,-0.000015,0.000152,-0.000003,0.000030,-0.000012,0.000405
